Query1.txt
Nutr_Val
30.28

Query2.txt
TEMP.Long_Desc
Fish oil, cod liver

Query3.txt
Nutr.No|Nutrient|Count
203|Protein|8789
204|Total lipid (fat)|8789
205|Carbohydrate, by difference|8789
207|Ash|8464
208|Energy|8789
209|Starch|1180
210|Sucrose|1743
211|Glucose (dextrose)|1752
212|Fructose|1753
213|Lactose|1731
214|Maltose|1719
221|Alcohol, ethyl|5591
255|Water|8788
257|Adjusted Protein|4
262|Caffeine|5396
263|Theobromine|5356
268|Energy|8756
269|Sugars, total|6957
287|Galactose|1601
291|Fiber, total dietary|8195
301|Calcium, Ca|8441
303|Iron, Fe|8645
304|Magnesium, Mg|8050
305|Phosphorus, P|8210
306|Potassium, K|8363
307|Sodium, Na|8706
309|Zinc, Zn|8083
312|Copper, Cu|7532
313|Fluoride, F|554
315|Manganese, Mn|6629
317|Selenium, Se|7089
318|Vitamin A, IU|8078
319|Retinol|6983
320|Vitamin A, RAE|7254
321|Carotene, beta|5627
322|Carotene, alpha|5531
323|Vitamin E (alpha-tocopherol)|5900
324|Vitamin D|5578
325|Vitamin D2 (ergocalciferol)|139
326|Vitamin D3 (cholecalciferol)|1945
328|Vitamin D (D2 + D3)|5527
334|Cryptoxanthin, beta|5519
337|Lycopene|5497
338|Lutein + zeaxanthin|5474
341|Tocopherol, beta|1889
342|Tocopherol, gamma|1886
343|Tocopherol, delta|1870
344|Tocotrienol, alpha|1460
345|Tocotrienol, beta|1475
346|Tocotrienol, gamma|1463
347|Tocotrienol, delta|1458
401|Vitamin C, total ascorbic acid|7971
404|Thiamin|8155
405|Riboflavin|8173
406|Niacin|8152
410|Pantothenic acid|6544
415|Vitamin B-6|7884
417|Folate, total|7528
418|Vitamin B-12|7596
421|Choline, total|4773
428|Menaquinone-4|588
429|Dihydrophylloquinone|1410
430|Vitamin K (phylloquinone)|5226
431|Folic acid|6750
432|Folate, food|7021
435|Folate, DFE|6732
454|Betaine|2084
501|Tryptophan|5104
502|Threonine|5153
503|Isoleucine|5157
504|Leucine|5156
505|Lysine|5170
506|Methionine|5170
507|Cystine|5004
508|Phenylalanine|5153
509|Tyrosine|5123
510|Valine|5157
511|Arginine|5143
512|Histidine|5150
513|Alanine|5099
514|Aspartic acid|4946
515|Glutamic acid|5103
516|Glycine|5099
517|Proline|5091
518|Serine|5099
521|Hydroxyproline|1434
573|Vitamin E, added|4777
578|Vitamin B-12, added|4931
601|Cholesterol|8379
605|Fatty acids, total trans|5041
606|Fatty acids, total saturated|8440
607|4:0|5887
608|6:0|5918
609|8:0|6125
610|10:0|6478
611|12:0|6664
612|14:0|7006
613|16:0|7213
614|18:0|7202
615|20:0|2862
617|18:1 undifferentiated|7229
618|18:2 undifferentiated|7247
619|18:3 undifferentiated|7152
620|20:4 undifferentiated|6509
621|22:6 n-3 (DHA)|5955
624|22:0|2324
625|14:1|2755
626|16:1 undifferentiated|6999
627|18:4|5904
628|20:1|6503
629|20:5 n-3 (EPA)|5998
630|22:1 undifferentiated|5979
631|22:5 n-3 (DPA)|5954
636|Phytosterols|503
638|Stigmasterol|138
639|Campesterol|138
641|Beta-sitosterol|139
645|Fatty acids, total monounsaturated|8123
646|Fatty acids, total polyunsaturated|8124
652|15:0|2399
653|17:0|2785
654|24:0|2250
662|16:1 t|1243
663|18:1 t|1919
664|22:1 t|866
665|18:2 t not further defined|1204
666|18:2 i|59
669|18:2 t,t|362
670|18:2 CLAs|1499
671|24:1 c|1384
672|20:2 n-6 c,c|2519
673|16:1 c|1373
674|18:1 c|1870
675|18:2 n-6 c,c|1841
676|22:1 c|1152
685|18:3 n-6 c,c,c|1662
687|17:1|2485
689|20:3 undifferentiated|2317
693|Fatty acids, total trans-monoenoic|1896
695|Fatty acids, total trans-polyenoic|1601
696|13:0|270
697|15:1|2101
851|18:3 n-3 c,c,c (ALA)|1969
852|20:3 n-3|1022
853|20:3 n-6|1245
855|20:4 n-6|164
856|18:3i|534
857|21:5|127
858|22:4|1068
859|18:1-11 t (18:1t n-7)|168

Query4.txt
TEMP.NAME|TEMP.CNT
Snacks, corn-based, extruded, puffs or twists, cheese-flavor|140

Query5.txt
NDB_No|Long_Desc|AVG_NUT_VAL
01001|Butter, salted|78.1567913043478
01002|Butter, whipped, with salt|68.1204503816794
01003|Butter oil, anhydrous|110.506571428571
01004|Cheese, blue|64.1902
01005|Cheese, brick|65.5273999999999
01006|Cheese, brie|48.6656444444444
